sensor_id,irrigate,energy_used,data_processed,timestamp
sensor_1,False,0.086,0.45,1759760541.6040442
sensor_5,False,0.057,0.21,1759760541.6211636
sensor_1,False,0.101,0.7,1759760543.6050336
sensor_6,False,0.179,0.67,1759760543.621944
sensor_6,False,0.17,0.61,1759760545.6056826
sensor_8,False,0.06,0.52,1759760545.6226192
sensor_8,False,0.181,0.28,1759760547.6063988
sensor_1,False,0.16,0.48,1759760547.6232572
sensor_8,True,0.164,0.18,1759760549.607082
sensor_3,True,0.095,0.24,1759760549.6238682
sensor_4,False,0.126,0.32,1759760551.6077428
sensor_5,True,0.182,0.12,1759760551.6244314
sensor_9,True,0.146,0.2,1759760553.6081853
sensor_8,True,0.112,0.31,1759760553.6250782
sensor_9,True,0.164,0.26,1759760555.6087189
sensor_7,True,0.091,0.68,1759760555.6254916
sensor_5,False,0.176,0.38,1759760557.6094484
sensor_7,True,0.173,0.61,1759760557.626109
sensor_10,True,0.089,0.27,1759760559.6098435
sensor_2,False,0.057,0.56,1759760559.6264908
sensor_1,True,0.198,0.39,1759760561.6102047
sensor_4,False,0.105,0.31,1759760561.627133
sensor_10,True,0.159,0.53,1759760563.6107624
sensor_9,False,0.064,0.42,1759760563.6277235
sensor_9,False,0.14,0.12,1759760565.6111968
sensor_1,True,0.149,0.44,1759760565.6280565
sensor_7,False,0.124,0.18,1759760567.6118681
sensor_6,False,0.058,0.52,1759760567.628712
sensor_8,False,0.067,0.64,1759760569.6126037
sensor_3,True,0.115,0.56,1759760569.629527
sensor_6,False,0.055,0.69,1759760571.613276
sensor_9,True,0.057,0.53,1759760571.6303923
sensor_6,True,0.13,0.65,1759760573.6137507
sensor_1,False,0.14,0.63,1759760573.6311004
sensor_6,False,0.052,0.65,1759760575.6149077
sensor_2,False,0.055,0.47,1759760575.6321456
sensor_7,False,0.181,0.23,1759760577.6153653
sensor_9,False,0.133,0.69,1759760577.6326447
sensor_7,True,0.053,0.34,1759760579.6159701
sensor_10,False,0.05,0.52,1759760579.6335182
sensor_9,False,0.093,0.43,1759760581.6165316
sensor_2,False,0.169,0.61,1759760581.6343195
sensor_1,False,0.138,0.53,1759760583.616867
sensor_10,False,0.139,0.57,1759760583.7245054
sensor_2,True,0.082,0.24,1759760585.6171658
sensor_10,False,0.125,0.67,1759760585.729437
sensor_4,False,0.086,0.66,1759760587.617883
sensor_8,True,0.17,0.37,1759760587.7303796
sensor_10,False,0.082,0.47,1759760589.618984
sensor_1,False,0.139,0.1,1759760589.7311032
sensor_2,False,0.114,0.22,1759760591.6195505
sensor_10,True,0.18,0.65,1759760591.7317991
sensor_2,True,0.098,0.44,1759760593.6202703
sensor_5,False,0.142,0.58,1759760593.732699
sensor_6,True,0.079,0.18,1759760595.6212077
sensor_6,True,0.189,0.66,1759760595.7336717
sensor_2,True,0.061,0.43,1759760597.6221106
sensor_9,False,0.115,0.43,1759760597.7346005
sensor_2,True,0.179,0.28,1759760599.6228838
sensor_1,False,0.197,0.51,1759760599.7352867
sensor_9,True,0.06,0.31,1759760601.623335
sensor_8,False,0.199,0.65,1759760601.7356827
sensor_6,False,0.175,0.16,1759760603.6281161
sensor_8,True,0.181,0.67,1759760603.7365086
sensor_7,True,0.164,0.39,1759760605.6288698
sensor_8,False,0.081,0.53,1759760605.7374532
sensor_9,True,0.169,0.5,1759760607.6295502
sensor_5,False,0.143,0.63,1759760607.7383568
sensor_3,True,0.17,0.31,1759760609.630297
sensor_3,False,0.123,0.68,1759760609.7390413
sensor_4,True,0.134,0.46,1759760611.6308334
sensor_1,True,0.143,0.57,1759760611.739694
sensor_5,True,0.06,0.33,1759760613.6314898
sensor_1,True,0.159,0.38,1759760613.740395
sensor_3,True,0.076,0.48,1759760615.6321723
sensor_5,False,0.146,0.44,1759760615.7411804
sensor_5,True,0.099,0.11,1759760617.6329882
sensor_6,True,0.138,0.68,1759760617.741704
sensor_3,True,0.121,0.59,1759760619.6333406
sensor_1,False,0.129,0.24,1759760619.7423427
sensor_5,True,0.193,0.69,1759760621.633975
sensor_4,False,0.166,0.32,1759760621.7431839
sensor_3,True,0.16,0.29,1759760623.6350513
sensor_8,True,0.079,0.6,1759760623.7442217
sensor_1,True,0.05,0.65,1759760625.6360674
sensor_5,False,0.183,0.36,1759760625.7448533
sensor_10,False,0.165,0.38,1759760627.636539
sensor_1,False,0.124,0.11,1759760627.7452998
sensor_7,True,0.062,0.36,1759760629.636923
sensor_10,False,0.144,0.63,1759760629.7463706
sensor_5,False,0.066,0.6,1759760631.6376042
sensor_9,False,0.068,0.22,1759760631.7491376
sensor_5,False,0.067,0.16,1759760633.638404
sensor_3,True,0.115,0.41,1759760633.7498949
sensor_4,True,0.199,0.3,1759760635.6387637
sensor_10,True,0.12,0.53,1759760635.750335
sensor_7,False,0.114,0.36,1759760637.639498
sensor_9,True,0.069,0.36,1759760637.7507782
sensor_3,False,0.127,0.27,1759760639.6400821
sensor_8,False,0.156,0.68,1759760639.7517383
sensor_7,True,0.136,0.37,1759760641.640374
sensor_10,False,0.174,0.64,1759760641.7521737
sensor_8,True,0.137,0.31,1759760643.640825
sensor_5,False,0.114,0.52,1759760643.7527835
sensor_1,False,0.176,0.21,1759760645.6410644
sensor_8,True,0.141,0.36,1759760645.7535503
sensor_5,True,0.173,0.49,1759760647.6414287
sensor_7,True,0.081,0.65,1759760647.7541323
sensor_8,True,0.09,0.34,1759760649.642394
sensor_5,True,0.196,0.54,1759760649.7548072
sensor_9,False,0.142,0.41,1759760651.6432345
sensor_9,True,0.134,0.43,1759760651.7556705
sensor_2,False,0.124,0.13,1759760653.643635
sensor_10,False,0.172,0.21,1759760653.756703
sensor_4,False,0.153,0.43,1759760655.6439648
sensor_6,False,0.107,0.29,1759760655.757099
sensor_6,False,0.077,0.44,1759760657.6443272
sensor_4,False,0.126,0.26,1759760657.7573779
sensor_10,False,0.18,0.37,1759760659.6454356
sensor_3,True,0.072,0.24,1759760659.7579956
sensor_9,False,0.136,0.34,1759760661.646157
sensor_4,True,0.1,0.22,1759760661.7589538
sensor_10,False,0.189,0.7,1759760663.6466255
sensor_9,False,0.153,0.28,1759760663.7596445
sensor_6,True,0.066,0.3,1759760665.647232
sensor_8,True,0.114,0.35,1759760665.7604256
sensor_4,False,0.175,0.36,1759760667.6477878
sensor_1,True,0.127,0.2,1759760667.7611275
sensor_7,False,0.128,0.41,1759760669.648622
sensor_4,False,0.061,0.29,1759760669.761965
sensor_4,True,0.054,0.65,1759760671.6494143
sensor_7,True,0.081,0.44,1759760671.7626398
sensor_3,True,0.122,0.16,1759760673.649955
sensor_7,False,0.124,0.33,1759760673.7630029
sensor_3,False,0.101,0.29,1759760675.6505873
sensor_2,True,0.165,0.68,1759760675.763728
sensor_1,False,0.089,0.59,1759760677.6512783
sensor_2,False,0.07,0.29,1759760677.764455
sensor_6,True,0.098,0.2,1759760679.6519587
sensor_9,True,0.089,0.5,1759760679.7651632
sensor_9,False,0.162,0.44,1759760681.652531
sensor_10,False,0.158,0.1,1759760681.7660542
sensor_6,True,0.094,0.46,1759760683.652888
sensor_2,False,0.088,0.37,1759760683.766739
sensor_8,True,0.155,0.28,1759760685.6536953
sensor_7,True,0.193,0.37,1759760685.767432
sensor_5,False,0.087,0.45,1759760687.6543694
sensor_9,False,0.06,0.36,1759760687.7681441
sensor_2,True,0.189,0.51,1759760689.654909
sensor_6,False,0.113,0.29,1759760689.7688096
sensor_8,True,0.136,0.46,1759760691.655547
sensor_2,False,0.056,0.14,1759760691.769599
sensor_6,False,0.12,0.62,1759760693.6561751
sensor_3,True,0.136,0.64,1759760693.7702672
sensor_5,False,0.147,0.24,1759760695.656788
sensor_7,True,0.152,0.63,1759760695.770631
sensor_4,False,0.104,0.45,1759760697.6575773
sensor_10,False,0.155,0.15,1759760697.7715013
sensor_3,False,0.16,0.2,1759760699.6579618
sensor_1,True,0.149,0.28,1759760699.7722402
sensor_10,False,0.111,0.26,1759760701.6585953
sensor_3,False,0.184,0.7,1759760701.7730973
sensor_6,True,0.16,0.17,1759760703.6593792
sensor_7,True,0.137,0.62,1759760703.7737617
sensor_3,False,0.139,0.67,1759760705.6597514
sensor_5,True,0.115,0.15,1759760705.774126
sensor_7,True,0.168,0.24,1759760707.6604598
sensor_9,True,0.117,0.11,1759760707.7744203
sensor_9,True,0.124,0.53,1759760709.660885
sensor_1,True,0.09,0.27,1759760709.7747138
sensor_6,True,0.059,0.13,1759760711.6612556
sensor_3,False,0.164,0.28,1759760711.775022
sensor_4,False,0.186,0.1,1759760713.661811
sensor_2,False,0.086,0.12,1759760713.7753065
sensor_10,False,0.131,0.33,1759760715.6622229
sensor_5,False,0.16,0.68,1759760715.7755954
sensor_6,True,0.123,0.43,1759760717.6626747
sensor_8,False,0.161,0.18,1759760717.7760408
sensor_4,True,0.087,0.39,1759760719.663014
sensor_8,True,0.065,0.36,1759760719.7764297
sensor_8,False,0.089,0.57,1759760721.6636264
sensor_3,True,0.092,0.49,1759760721.7770867
sensor_8,False,0.123,0.42,1759760723.6641386
sensor_5,True,0.161,0.58,1759760723.7776725
sensor_5,True,0.147,0.24,1759760725.6648662
sensor_6,False,0.172,0.64,1759760725.7784758
sensor_1,True,0.198,0.51,1759760727.6656585
sensor_8,False,0.081,0.6,1759760727.7791948
sensor_6,False,0.182,0.42,1759760729.6664317
sensor_4,False,0.168,0.65,1759760729.7798395
sensor_3,False,0.088,0.35,1759760731.667074
sensor_7,True,0.107,0.46,1759760731.7805545
