sensor_id,temperature,humidity,soil_moisture,energy_used,data_processed,timestamp
sensor_3,24.44,66.49,59.85,0.042,0.25,1759759725.3639915
sensor_10,31.45,43.3,23.61,0.047,0.23,1759759727.3643413
sensor_10,26.32,40.36,22.86,0.011,0.4,1759759729.3650985
sensor_10,28.49,42.72,13.65,0.05,0.15,1759759731.3659241
sensor_3,26.36,67.25,56.16,0.05,0.42,1759759733.366557
sensor_8,24.17,74.05,51.2,0.025,0.12,1759759735.3670068
sensor_5,31.47,33.2,34.98,0.041,0.17,1759759737.3678064
sensor_3,23.79,61.38,11.99,0.031,0.49,1759759739.368262
sensor_8,34.23,67.54,35.25,0.021,0.12,1759759741.368703
sensor_9,31.52,46.88,35.8,0.033,0.45,1759759743.36906
sensor_7,32.84,46.18,38.27,0.019,0.38,1759759745.3695416
sensor_3,29.58,66.17,51.0,0.018,0.43,1759759747.370397
sensor_8,35.45,49.1,31.33,0.049,0.23,1759759749.3711152
sensor_2,31.5,38.98,58.0,0.042,0.24,1759759751.3719754
sensor_1,33.69,31.84,46.88,0.035,0.1,1759759753.3725917
sensor_5,31.49,42.67,37.52,0.043,0.32,1759759755.3732316
sensor_4,22.83,54.85,11.62,0.042,0.3,1759759757.374166
sensor_8,22.75,45.15,11.82,0.032,0.25,1759759759.3748145
sensor_6,25.7,79.32,11.51,0.021,0.48,1759759761.3754234
sensor_3,31.58,57.11,45.57,0.038,0.18,1759759763.3761835
sensor_9,35.18,68.16,28.29,0.033,0.15,1759759765.3767414
sensor_4,32.85,77.75,16.52,0.02,0.18,1759759767.3775823
sensor_3,33.84,32.47,25.11,0.026,0.12,1759759769.3782554
sensor_10,29.25,59.63,56.7,0.032,0.31,1759759771.3789015
sensor_9,30.94,59.29,30.5,0.044,0.34,1759759773.3794467
sensor_6,33.49,53.04,13.54,0.019,0.34,1759759775.3798099
sensor_5,22.05,50.45,43.47,0.011,0.3,1759759777.380411
sensor_9,27.5,58.43,17.42,0.043,0.18,1759759779.3811164
sensor_9,30.98,66.07,59.17,0.044,0.17,1759759781.3820934
sensor_2,33.54,40.7,19.22,0.011,0.21,1759759783.3828204
sensor_3,28.31,57.35,52.91,0.014,0.4,1759759785.3838873
sensor_4,27.14,34.87,28.22,0.038,0.11,1759759787.3844447
sensor_1,25.99,54.09,48.9,0.029,0.46,1759759789.3847165
sensor_10,28.78,36.45,49.34,0.016,0.13,1759759791.3851297
sensor_8,30.85,36.87,36.62,0.019,0.4,1759759793.385764
sensor_6,29.32,55.2,41.7,0.017,0.39,1759759795.386161
sensor_6,34.07,74.65,18.88,0.041,0.45,1759759797.3868916
sensor_9,34.89,31.58,26.92,0.01,0.24,1759759799.3872864
sensor_4,27.19,66.66,59.18,0.045,0.24,1759759801.3879375
sensor_2,31.42,52.69,48.45,0.038,0.31,1759759803.388294
sensor_6,22.23,46.11,22.8,0.013,0.45,1759759805.3888865
sensor_5,28.22,56.63,21.76,0.019,0.44,1759759807.3892474
sensor_9,32.17,31.04,26.86,0.013,0.44,1759759809.389882
sensor_3,26.36,64.09,19.49,0.031,0.46,1759759811.3903656
sensor_3,25.74,62.78,36.71,0.046,0.42,1759759813.391127
sensor_7,35.76,59.47,40.67,0.046,0.2,1759759815.3916335
sensor_3,25.44,67.15,30.53,0.025,0.19,1759759817.3925257
sensor_4,35.58,49.74,33.71,0.015,0.29,1759759819.392806
sensor_5,22.43,46.1,32.28,0.036,0.31,1759759821.393147
sensor_4,22.47,60.35,40.55,0.044,0.36,1759759823.3935022
sensor_8,28.23,58.49,51.25,0.03,0.2,1759759825.3942292
